track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
U Got It Bad,USHER,0.649,0.5,8701,https://api.spotify.com/v1/tracks/7J41dYQolQJEtj3UmKLu5r,2001-08-07,69
You,"Lloyd, Lil Wayne",0.706,0.876,Street Love,https://api.spotify.com/v1/tracks/5Y77SQxEr1eiofPeUTPHxM,2007-01-01,73
Because Of You,Ne-Yo,0.832,0.538,Because Of You,https://api.spotify.com/v1/tracks/6CFPFnS9EcLs2I0nWqtWci,2007-01-01,74
Trust,Brent Faiyaz,0.465,0.394,Lost,https://api.spotify.com/v1/tracks/0oufSLnKQDoBFX5mgkDCgR,2018-10-19,75
Dilemma,"Nelly, Kelly Rowland",0.607,0.552,Nellyville,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM,2002-06-25,77
Love in This Club (feat. Young Jeezy),"USHER, Jeezy",0.346,0.712,Here I Stand,https://api.spotify.com/v1/tracks/5j0McHPthKpOXRr3fBq8M0,2008-05-27,74
Adorn,Miguel,0.235,0.576,Kaleidoscope Dream (Deluxe Version),https://api.spotify.com/v1/tracks/5hJFhO9dvhJoDvUZZ9iWSw,2012,68
The Weekend,SZA,0.161,0.366,Ctrl,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,2017-06-09,73
Rehab (Winter In Paris),Brent Faiyaz,0.286,0.242,Fuck The World,https://api.spotify.com/v1/tracks/0zWbYGQq5O1KQd0iqzgjP6,2020-02-07,71
Language,"Paperboy Fabe, Brent Faiyaz",0.77,0.721,Language,https://api.spotify.com/v1/tracks/4RnvS1tmh1ERhjXX6dxv95,2017-05-12,77
Confessions Part II,USHER,0.702,0.467,Confessions (Expanded Edition),https://api.spotify.com/v1/tracks/7wBThXx7BGZHJJ3aN3OPvv,2004-03-23,68
Something Just Like This,"The Chainsmokers, Coldplay",0.446,0.635,Memories...Do Not Open,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,2017-04-07,86
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",0.53,0.939,Planet Pit (Deluxe Version),https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,2011-06-17,84
Let Me Love You,"DJ Snake, Justin Bieber",0.159,0.715,Encore,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,2016-08-05,83
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",0.418,0.823,Motion,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,2014-10-31,82
The Nights,Avicii,0.654,0.835,The Days / Nights,https://api.spotify.com/v1/tracks/0ct6r3EGTcMLPtrXHDvVjc,2014-01-01,82
Ride It,Regard,0.884,0.751,Ride It,https://api.spotify.com/v1/tracks/2tnVG71enUj33Ic2nFN6kZ,2019-07-26,80
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn",0.603,0.685,Me 4 U,https://api.spotify.com/v1/tracks/7vFoFDWqTX0mHzLfrF1Cfy,2015-10-16,80
Closer,"The Chainsmokers, Halsey",0.661,0.524,Closer,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw,2016-07-29,84
Faded,Alan Walker,0.159,0.627,Different World,https://api.spotify.com/v1/tracks/698ItKASDavgwZ3WjaWjtz,2018-12-14,80
Summer,Calvin Harris,0.743,0.856,Motion,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,2014-10-31,81
In My Mind,"Dynoro, Gigi D'Agostino",0.163,0.77,In My Mind,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,2018-06-08,80
Timber,"Pitbull, Kesha",0.788,0.963,Global Warming: Meltdown (Deluxe Version),https://api.spotify.com/v1/tracks/3cHyrEgdyYRjgJKSOiOtcS,2012,82
Titanium (feat. Sia),"David Guetta, Sia",0.301,0.787,Nothing but the Beat (Ultimate Edition),https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4,2012-12-07,80
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb",0.71,0.714,"At Night, Alone.",https://api.spotify.com/v1/tracks/0vbtURX4qv1l7besfwmnD8,2016-05-06,79
Sugar (feat. Francesco Yates),"Robin Schulz, Francesco Yates",0.636,0.815,Sugar,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,2015-09-25,78
Waiting For Love,Avicii,0.613,0.736,Stories,https://api.spotify.com/v1/tracks/2P4OICZRVAQcYAV2JReRfj,2015-10-02,78
On The Floor,"Jennifer Lopez, Pitbull",0.575,0.777,Love?,https://api.spotify.com/v1/tracks/3C0nOe05EIt1390bVABLyN,2011-04-29,78
Don't Let Me Down,"The Chainsmokers, Daya",0.425,0.869,Don't Let Me Down,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,2016-02-05,80
Blame (feat. John Newman),"Calvin Harris, John Newman",0.348,0.857,Motion,https://api.spotify.com/v1/tracks/07nH4ifBxUB4lZcsf44Brn,2014-10-31,79
Wild Ones (feat. Sia),"Flo Rida, Sia",0.437,0.86,Wild Ones,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,2012-06-22,77
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",0.862,0.811,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,2013-04-19,77
More Than You Know,Axwell /\ Ingrosso,0.571,0.741,More Than You Know,https://api.spotify.com/v1/tracks/6h5PAsRni4IRlxWr6uDPTP,2017-07-28,77
In the Name of Love,"Martin Garrix, Bebe Rexha",0.168,0.519,In the Name of Love,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S,2016-07-29,77
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",0.466,0.717,Layers,https://api.spotify.com/v1/tracks/1A8j067qyiNwQnZT0bzUpZ,2016-11-04,76
Scream & Shout,"will.i.am, Britney Spears",0.501,0.685,#willpower,https://api.spotify.com/v1/tracks/2iJuuzV8P9Yz0VSurttIV5,2013-01-01,76
This Is What You Came For,"Calvin Harris, Rihanna",0.465,0.927,This Is What You Came For,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,2016-04-29,77
Alors on danse - Radio Edit,Stromae,0.72,0.593,Cheese,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,2010-01-01,75
We Found Love,"Rihanna, Calvin Harris",0.6,0.766,Talk That Talk,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,2011-11-19,75
Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",0.45,0.51,Waves (Robin Schulz Radio Edit),https://api.spotify.com/v1/tracks/1HFfMOxCAT4GAwaPfCdmUs,2014-02-07,75
Club Can't Handle Me (feat. David Guetta),"Flo Rida, David Guetta",0.473,0.869,Only One Flo (Part 1),https://api.spotify.com/v1/tracks/6ebkx7Q5tTxrCxKq4GYj0Y,2010-11-24,76
Under Control (feat. Hurts),"Calvin Harris, Alesso, Hurts",0.51,0.915,Motion,https://api.spotify.com/v1/tracks/4J7CKHCF3mdL4diUsmW8lq,2014-10-31,76
Dancin (feat. Luvli) - Krono Remix,"Aaron Smith, Krono, Luvli",0.357,0.741,Dancin (feat. Luvli) [Krono Remix],https://api.spotify.com/v1/tracks/6WkJ2OK163XXS2oARUC9JM,2014-11-07,75
One More Time,Daft Punk,0.476,0.697,Discovery,https://api.spotify.com/v1/tracks/0DiWol3AO6WpXZgp0goxAV,2001-03-12,74
Firestone,"Kygo, Conrad Sewell",0.411,0.634,Cloud Nine,https://api.spotify.com/v1/tracks/1I8tHoNBFTuoJAlh4hfVVE,2016-05-13,74
Perfect Strangers,"Jonas Blue, JP Cooper",0.704,0.861,Blue,https://api.spotify.com/v1/tracks/3P3pw6C19j31Rnzgo3JG7o,2018-11-09,74
Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",0.0348,0.989,Love Tonight (David Guetta Remix),https://api.spotify.com/v1/tracks/2prnn41CblB8B4yWACDljP,2021-06-11,74
Runaway (U & I),Galantis,0.383,0.805,Pharmacy,https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo,2015-06-05,74
Middle,"DJ Snake, Bipolar Sunshine",0.224,0.695,Encore,https://api.spotify.com/v1/tracks/0g5EKLgdKvNlln7TNqBByK,2016-08-05,73
Infinity 2008 - Klaas Vocal Edit,"Guru Josh Project, Klaas",0.469,0.862,Infinity 2008,https://api.spotify.com/v1/tracks/3aQz0z86zrKjd1mcZlonxE,2008-05-07,73
King,Olly Alexander (Years & Years),0.432,0.857,Communion (Deluxe),https://api.spotify.com/v1/tracks/3AeicLnm55RqcXGBKYQolM,2015-07-10,73
Clarity,"Zedd, Foxes",0.176,0.781,Clarity,https://api.spotify.com/v1/tracks/60wwxj6Dd9NJlirf84wr2c,2012-01-01,73
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","David Guetta, AFROJACK, Bebe Rexha, Nicki Minaj",0.525,0.73,Listen,https://api.spotify.com/v1/tracks/285HeuLxsngjFn4GGegGNm,2014-11-10,73
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"Felix Jaehn, Jasmine Thompson",0.459,0.568,I,https://api.spotify.com/v1/tracks/3c8iiZGfEammKJuWTErE5x,2018-02-16,73
Hear Me Now,"Alok, Zeeba, Bruno Martini",0.496,0.463,Hear Me Now (feat. Zeeba),https://api.spotify.com/v1/tracks/39cmB3ZoTOLwOTq7tMNqKa,2016-10-21,73
ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",0.33,0.774,ily (i love you baby) (feat. Emilee),https://api.spotify.com/v1/tracks/62aP9fBQKYKxi7PDXwcUAS,2019-11-26,73
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",0.11,0.81,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) [Cedric Gervais Remix],https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB,2013-02-01,72
Dynamite,Taio Cruz,0.814,0.781,The Rokstarr Hits Collection,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,2010-01-01,72
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne",0.549,0.586,New Eyes,https://api.spotify.com/v1/tracks/61dCUoMCg28qEBzrW6htYM,2014-06-02,72
Breaking Me,"Topic, A7S",0.664,0.72,Breaking Me,https://api.spotify.com/v1/tracks/3H7ihDc1dqLriiWXwsc2po,2019-12-19,72
The Business,Tiësto,0.235,0.62,The Business,https://api.spotify.com/v1/tracks/6f3Slt0GbA2bPZlz0aIFXN,2020-09-16,72
Stay,"Zedd, Alessia Cara",0.544,0.622,Stay,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0,2017-02-23,73
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",0.355,0.736,Sorry For Party Rocking,https://api.spotify.com/v1/tracks/7mitXLIMCflkhZiD34uEQI,2011-01-01,72
Roses,"The Chainsmokers, ROZES",0.343,0.802,Roses,https://api.spotify.com/v1/tracks/3vv9phIu6Y1vX3jcqaGz5Z,2015-06-16,71
I Love It (feat. Charli XCX),"Icona Pop, Charli xcx",0.824,0.906,THIS IS... ICONA POP,https://api.spotify.com/v1/tracks/2U8NXPTXZWG2O0ye2sYRiH,2013-08-27,71
Play Hard (feat. Ne-Yo & Akon),"David Guetta, Ne-Yo, Akon",0.8,0.921,Nothing but the Beat (Ultimate Edition),https://api.spotify.com/v1/tracks/5YPMEOJ58kfl56VHxTgwx3,2012-12-07,71
Around the World,Daft Punk,0.841,0.795,Homework,https://api.spotify.com/v1/tracks/1pKYYY0dkg23sQQXi0Q5zN,1997-01-17,71
This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",0.145,0.833,Intense,https://api.spotify.com/v1/tracks/5GjnIpUlLGEIYk052ISOw9,2013-05-03,70
I'm an Albatraoz,"AronChupa, Little Sis Nora",0.595,0.817,I'm an Albatraoz,https://api.spotify.com/v1/tracks/5MhsZlmKJG6X5kTHkdwC4B,2014-08-08,70
Heroes (we could be),"Alesso, Tove Lo",0.356,0.748,Forever,https://api.spotify.com/v1/tracks/3zU9rdflI65tK4dkkNSp77,2015-05-22,70
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",0.26,0.392,Settle (Special Edition),https://api.spotify.com/v1/tracks/3W2ZcrRsInZbjWylOi6KhZ,2013-06-03,70
Lose Control,Teddy Swims,0.242,0.604,Lose Control,https://api.spotify.com/v1/tracks/6usohdchdzW9oML7VC4Uhk,2023-06-23,81
Let Me Go,Daniel Caesar,0.451,0.473,NEVER ENOUGH,https://api.spotify.com/v1/tracks/3ym8ajVmKm6Fybgov3WBI5,2023-04-07,70
FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",0.201,0.882,UTOPIA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,2023-07-28,88
Slow It Down,Benson Boone,0.544,0.583,Fireworks & Rollerblades,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,2024-04-05,87
Big Dawgs,"Hanumankind, Kalmi",0.262,0.745,Big Dawgs,https://api.spotify.com/v1/tracks/0OA00aPt3BV10qeMIs3meW,2024-07-09,85
I'm Good (Blue),"David Guetta, Bebe Rexha",0.304,0.965,I'm Good (Blue),https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,2022-08-26,85
Romantic Homicide,d4vd,0.216,0.544,Romantic Homicide,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,2022-07-20,85
New Woman (feat. ROSALÍA),"LISA, ROSALÍA",0.314,0.854,New Woman (feat. ROSALÍA),https://api.spotify.com/v1/tracks/7ov3TDp5D00Rnu5R1viX4w,2024-08-15,85
i like the way you kiss me,Artemas,0.747,0.946,i like the way you kiss me,https://api.spotify.com/v1/tracks/2GxrNKugF82CnoRFbQfzPf,2024-03-19,84
Ransom,Lil Tecca,0.226,0.642,We Love You Tecca,https://api.spotify.com/v1/tracks/1lOe9qE0vR9zwWQAOk6CoO,2019-08-30,84
KEEP UP,Odetari,0.505,0.829,KEEP UP // FROSTBITE,https://api.spotify.com/v1/tracks/2yR2sziCF4WEs3klW1F38d,2024-07-17,84
one of wun,Gunna,0.287,0.453,One of Wun,https://api.spotify.com/v1/tracks/4Na2HfNSr58chvfX69fy36,2024-05-10,84
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",0.31,0.787,I Adore You (feat. Daecolm),https://api.spotify.com/v1/tracks/5nPbKG04fhLkIAjcPFaZq7,2024-07-19,83
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",0.32,0.618,Black Friday (pretty like the sun),https://api.spotify.com/v1/tracks/4MSj19TwYBLgDFj3ddEeco,2024-07-19,83
I Can Do It With a Broken Heart,Taylor Swift,0.22,0.751,THE TORTURED POETS DEPARTMENT,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,2024-04-18,83
Apple,Charli xcx,0.962,0.957,BRAT,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,2024-06-07,83
Hope,XXXTENTACION,0.225,0.457,?,https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah,2018-03-16,82
Happier,"Marshmello, Bastille",0.671,0.792,Happier,https://api.spotify.com/v1/tracks/7BqHUALzNBTanL6OvsqmC1,2018-08-17,82
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.925,0.522,Hollywood's Bleeding,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY,2019-09-06,82
fukumean,Gunna,0.22,0.622,a Gift & a Curse,https://api.spotify.com/v1/tracks/4rXLjWdF2ZZpXCVTfWcshS,2023-06-16,82
redrum,21 Savage,0.244,0.733,american dream,https://api.spotify.com/v1/tracks/52eIcoLUM25zbQupAZYoFh,2024-01-12,81
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",0.339,0.642,I NEVER LIKED YOU,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,2022-04-29,82
Miles On It,"Marshmello, Kane Brown",0.785,0.761,Miles On It,https://api.spotify.com/v1/tracks/4pkb8SbRGeHAvdb87v9rpf,2024-05-03,81
Moonlight,XXXTENTACION,0.711,0.537,?,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,2018-03-16,81
Godzilla (feat. Juice WRLD),"Eminem, Juice WRLD",0.829,0.745,Music To Be Murdered By,https://api.spotify.com/v1/tracks/7FIWs0pqAYbP91WWM0vlTQ,2020-01-17,81
Addicted,"Zerb, The Chainsmokers, Ink",0.19,0.741,Addicted,https://api.spotify.com/v1/tracks/5ZUIPLoTLJZrPQh2kFZEUM,2024-03-29,81
on one tonight,Gunna,0.932,0.727,One of Wun,https://api.spotify.com/v1/tracks/6EUcP55GlbmsmCzfL2vxtZ,2024-05-10,82
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",0.563,0.95,Thank You (Not So Bad),https://api.spotify.com/v1/tracks/09CnYHiZ5jGT1wr1TXJ9Zt,2023-12-01,81
360,Charli xcx,0.796,0.62,BRAT,https://api.spotify.com/v1/tracks/4w2GLmK2wnioVnb5CPQeex,2024-06-07,81
Houdini,Eminem,0.889,0.887,Houdini,https://api.spotify.com/v1/tracks/2HYFX63wP3otVIvopRS99Z,2024-05-31,81
The Box,Roddy Ricch,0.642,0.586,Please Excuse Me for Being Antisocial,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,2019-12-06,81
Lovin On Me,Jack Harlow,0.606,0.558,Lovin On Me,https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU,2023-11-10,81
XO Tour Llif3,Lil Uzi Vert,0.401,0.75,Luv Is Rage 2,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,2017-08-25,81
Where Are You Now,"Lost Frequencies, Calum Scott",0.282,0.632,All Stand Together,https://api.spotify.com/v1/tracks/3mfER4ORePHvN35cbZ3dkV,2023-11-10,81
2055,Sleepy Hallow,0.638,0.512,Still Sleep?,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,2021-06-02,80
Mood (feat. iann dior),"24kGoldn, iann dior",0.732,0.716,El Dorado,https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m,2021-03-26,80
SLAY!,Eternxlkz,0.504,0.773,SLAY!,https://api.spotify.com/v1/tracks/67smGwuPEtA6GAfeweAVNO,2024-03-15,80
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",0.0356,0.797,You & Me (Rivo Remix),https://api.spotify.com/v1/tracks/0xoYZ45fgTfyQYREZPN7Sa,2023-12-22,79
Sprinter,"Dave, Central Cee",0.706,0.681,Sprinter,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,2023-06-01,79
Somedays,"Sonny Fodera, Jazzy, D.O.D",0.543,0.753,Somedays,https://api.spotify.com/v1/tracks/3wo3d0I5H8KjkwGvnz8WbB,2024-07-26,79
Back On 74,Jungle,0.194,0.761,Volcano,https://api.spotify.com/v1/tracks/19kHhX6f6EfLU7rcO3RqjO,2023-08-11,79
DEVIL IS A LIE,Tommy Richman,0.613,0.452,DEVIL IS A LIE,https://api.spotify.com/v1/tracks/6jlG8gBPNAgBgoivw2Ig09,2024-06-14,78
Whatever She Wants,Bryson Tiller,0.435,0.512,Whatever She Wants,https://api.spotify.com/v1/tracks/57wp7VFnV8X0pSVnYArGeJ,2024-02-13,78
euphoria,Kendrick Lamar,0.142,0.643,euphoria,https://api.spotify.com/v1/tracks/77DRzu7ERs0TX3roZcre7Q,2024-04-30,78
Push Up - Main Edit,Creeds,0.187,0.83,Push Up (Main Edit),https://api.spotify.com/v1/tracks/3AjSfp5FDvwtMU9XBsbS8j,2023-03-31,77
Strangers,Kenya Grace,0.416,0.523,Strangers,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,2023-09-01,77
BACKBONE,"Chase & Status, Stormzy",0.637,0.934,BACKBONE,https://api.spotify.com/v1/tracks/3HrHhTWonBqF4mDasi8xvC,2024-08-08,77
FUNKED UP - SLOWED,"xxanteria, isq",0.702,0.927,FUNKED UP,https://api.spotify.com/v1/tracks/4VL5XwfATZuAVTW471Wpro,2024-01-19,77
Montagem Mysterious Game,LXNGVX,0.222,0.64,Montagem Mysterious Game,https://api.spotify.com/v1/tracks/7vOmSP2647oNUGGEhWd1cr,2023-12-01,77
TUCA DONKA,"CURSEDEVIL, DJ FKU, Skorde",0.502,0.963,TUCA DONKA,https://api.spotify.com/v1/tracks/7bxyNLXYaEYaZTxAuQTHlD,2023-07-28,77
Paint The Town Red,Doja Cat,0.726,0.556,Scarlet,https://api.spotify.com/v1/tracks/56y1jOTK0XSvJzVv9vHQBK,2023-09-20,77
MONTAGEM - PR FUNK,"S3BZS, Mc Gw, Mc Menor Do Alvorada",0.795,0.803,MONTAGEM - PR FUNK,https://api.spotify.com/v1/tracks/6njJR3OIp3oA0Kc4aC9Tzf,2023-05-01,77
Doja,Central Cee,0.972,0.573,Doja,https://api.spotify.com/v1/tracks/3LtpKP5abr2qqjunvjlX5i,2022-07-21,77
Somebody (2024),"Gotye, FISHER, Chris Lake, Kimbra, Sante Sansone",0.586,0.629,Somebody (2024),https://api.spotify.com/v1/tracks/0agQ9vIV7NP4dntGKLcCXO,2024-02-09,77
Whatever,"Kygo, Ava Max",0.589,0.777,Whatever,https://api.spotify.com/v1/tracks/0LMwmV37RCmBO2so0szAFs,2024-01-19,76
ONE CALL,Rich Amiri,0.253,0.539,Ghetto Fabulous,https://api.spotify.com/v1/tracks/69phA1R4gmQsBFRQ3INW8C,2023-11-17,76
IDGAF (feat. Yeat),"Drake, Yeat",0.14,0.672,For All The Dogs,https://api.spotify.com/v1/tracks/2YSzYUF3jWqb9YP9VXmpjE,2023-10-06,76
Deep Down (feat. Never Dull),"Alok, Ella Eyre, Kenny Dope, Never Dull",0.886,0.818,Deep Down (feat. Never Dull),https://api.spotify.com/v1/tracks/7MIhUdNJtaOnDmC5nBC1fb,2022-06-17,76
Agora Hills,Doja Cat,0.381,0.687,Scarlet,https://api.spotify.com/v1/tracks/5PyDJG7SQRgWXefgexqIge,2023-09-20,76
CUTE DEPRESSED,Dyan Dxddy,0.848,0.919,CUTE DEPRESSED,https://api.spotify.com/v1/tracks/06PqeO7IInus2yvzsZwZhf,2024-02-02,76
BRODYAGA FUNK,Eternxlkz,0.591,0.738,BRODYAGA FUNK,https://api.spotify.com/v1/tracks/2V3hsJU3bTOATih0Fm4aDp,2023-11-17,75
LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",0.686,0.81,LOVELY BASTARDS,https://api.spotify.com/v1/tracks/0EqczV3o6fwksegAavIHpX,2023-08-25,75
Boyz In Paris (with VINAI),"Marnik, Naeleck, VINAI",0.399,0.967,Boyz In Paris (with VINAI),https://api.spotify.com/v1/tracks/17NHXI2CJp7KgdcwcDnRx4,2023-07-28,75
Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",0.355,0.897,Watch This (ARIZONATEARS Pluggnb Remix),https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,2023-02-05,75
10:35,"Tiësto, Tate McRae",0.698,0.793,DRIVE,https://api.spotify.com/v1/tracks/36gcliMRX1vCpgnrZE3dFZ,2023-04-21,75
TOO COOL TO BE CARELESS,PAWSA,0.818,0.781,TOO COOL TO BE CARELESS,https://api.spotify.com/v1/tracks/6KqM3xmPIDonsTjCSGrrr5,2024-07-05,74
Automotivo Bibi Fogosa,"Bibi Babydoll, Dj Brunin XM, KZA Produções",0.774,0.848,Automotivo Bibi Fogosa,https://api.spotify.com/v1/tracks/2JIzOc3HHo4MhiyZzhpBUV,2023-11-10,74
Bones,Imagine Dragons,0.571,0.742,Bones,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,2022-03-11,74
First Person Shooter (feat. J. Cole),"Drake, J. Cole",0.245,0.655,For All The Dogs,https://api.spotify.com/v1/tracks/7aqfrAY2p9BUSiupwk3svU,2023-10-06,74
Atmosphere,"FISHER, Kita Alexander",0.757,0.895,Atmosphere,https://api.spotify.com/v1/tracks/63HwAAXuSV2tzIUPoHOwZa,2023-08-11,73
9mm,"Memphis Cult, Groove Dealers, SPLYXER",0.304,0.915,Memphis Cult Vol. 6,https://api.spotify.com/v1/tracks/3K5KXm1uZjiyQk0J7op1xf,2023-02-23,73
edamame,"bbno$, Rich Brian",0.694,0.85,eat ya veggies,https://api.spotify.com/v1/tracks/1golLrmqyxDWedF7YUHCOD,2021-10-08,73
Breathe,Yeat,0.113,0.546,2093,https://api.spotify.com/v1/tracks/5NAOhPAZ57eFAXr3qatS6i,2024-02-16,73
GOOD LOYAL THOTS,Odetari,0.607,0.86,GOOD LOYAL THOTS,https://api.spotify.com/v1/tracks/06tNJ27nVxbDwhiQMChWyr,2023-03-15,73
Let's Go,Key Glock,0.267,0.636,Glockoma 2 (Deluxe),https://api.spotify.com/v1/tracks/5GCU2LJWPzoP8Q6nexs61z,2023-06-23,73
GODS,"League of Legends, NewJeans",0.492,0.765,GODS,https://api.spotify.com/v1/tracks/210JJAa9nJOgNa0YNrsT5g,2023-10-04,73
Stronger,Young Jonn,0.636,0.819,Jiggy Forever,https://api.spotify.com/v1/tracks/4KZMoDuxwSYP63bhbnMqe3,2024-04-12,70
Are you there?,Ayo Maff,0.44,0.529,MAFFIAN,https://api.spotify.com/v1/tracks/10y7iW3rc8bzGbhAC3mNPA,2024-08-15,69
OZEBA,Rema,0.838,0.841,HEIS,https://api.spotify.com/v1/tracks/7ySC0IjVS1PMEdsZOvsUK2,2024-07-10,68
Constantly,"Hyce, BoyPee, Brown Joel",0.718,0.705,Constantly,https://api.spotify.com/v1/tracks/3MldGIMtPcupNBI4Dnxolr,2024-08-28,68
JUJU (feat. Shallipopi),"Smur Lee, ODUMODUBLVCK, Shallipopi",0.546,0.719,JUJU (feat. Shallipopi),https://api.spotify.com/v1/tracks/6XBIOtdSL47qn201KKNCA0,2024-08-22,71
alone - Remix,"FOLA, Bnxn",0.425,0.52,alone (Remix),https://api.spotify.com/v1/tracks/2GSK9VfsKWpVOV6ZzKiMA4,2024-10-04,68
Dealer,"Ayo Maff, Fireboy DML",0.567,0.651,Dealer,https://api.spotify.com/v1/tracks/5Wxkvvb6pLky16pwq4gBI3,2024-04-16,68
アイドル,YOASOBI,0.836,0.935,アイドル,https://api.spotify.com/v1/tracks/7ovUcF5uHTBRzUpB6ZOmvt,2023-04-12,72
KICK BACK,Kenshi Yonezu,0.292,0.941,KICK BACK,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,2022-10-12,72
ライラック,Mrs. GREEN APPLE,0.775,0.794,ライラック,https://api.spotify.com/v1/tracks/78W4mTLIh4qoLu92W4IQhO,2024-04-11,77
青のすみか,Tatsuya Kitani,0.639,0.898,青のすみか,https://api.spotify.com/v1/tracks/12usPU2WnqgCHAW1EK2dfd,2023-07-07,71
