track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
Belong Together,Mark Ambor,0.64,0.668,Belong Together,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu,2024-02-16,82
Si Antes Te Hubiera Conocido,KAROL G,0.787,0.668,Si Antes Te Hubiera Conocido,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,2024-06-21,93
End of Beginning,Djo,0.912,0.454,DECIDE,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,2022-09-16,89
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",0.281,0.386,THE TORTURED POETS DEPARTMENT,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,2024-04-18,84
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",0.388,0.681,PRIMERA MUSA,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,2024-09-20,89
Not Like Us,Kendrick Lamar,0.214,0.472,Not Like Us,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,2024-05-04,88
Running Wild,Jin,0.317,0.711,Happy,https://api.spotify.com/v1/tracks/4p7DTkyrKqT98xlIwYYfXz,2024-11-15,85
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",0.692,0.712,+57,https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP,2024-11-08,84
Embrace It,Ndotz,0.788,0.645,Embrace It,https://api.spotify.com/v1/tracks/0io16MKpbeDIdYzmGpQaES,2024-08-23,87
The Emptiness Machine,Linkin Park,0.806,0.872,The Emptiness Machine,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A,2024-09-05,89
Who,Jimin,0.838,0.756,MUSE,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,2024-07-19,92
Hotel California - 2013 Remaster,Eagles,0.609,0.508,Hotel California (2013 Remaster),https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,1976-12-08,81
Thunderstruck,AC/DC,0.259,0.89,The Razors Edge,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,1990-09-24,83
Seven Nation Army,The White Stripes,0.278,0.446,Elephant,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,2003-04-01,82
